Contract Address,Risky Mutable Proxy,ERC-721 Re-entrancy,Unlimited Minting,Missing Requirements,Public Burn
0x708e73c7a0d81e00e848c902217d2d39e56d65af,1,0,0,0,0
0x6A5418B18a59452A05dBcc1cD80D9Ed61B4CbE05,0,0,1,0,0
0xE393ed3C5586542AceEE63276a8077B221766DcD,0,0,0,1,0
0x30a4706763c5aeea9f05ef080ec24d52f883b39d,0,1,0,0,0
0x578833a10a4b064139d755d5f29c6e6b799b70f8,0,0,1,0,0
0x237677ef5190c512bd4fd905695ace2ece682b32,0,0,1,0,0
0x4ff5ed90d603e032f4f5fa421bc0425ad3a1ce2d,0,0,1,0,0
0xcd02733beafa3776851844816ed6d2102ee89ba2,0,0,1,0,0
0x9c7b9db6a10667469aa13a4c669fbf07280df642,0,0,1,0,0
0xC4df6018F90f91baD7e24f89279305715B3A276F,0,0,1,0,0
0x16FcCFDf461c2E1E636eE24ff5cffd5669fAD941,0,1,0,0,0
0x7f3e3f6ea8409e4bfc1c6781e038722ced52e97c,1,0,1,0,0
0x8a8e83c4f1d721a1c908197dafca5312d4edeca3,0,0,1,0,0
0xc411cac19dd7a00b87c97bce9741c0bc1b38c47b,0,0,1,0,0
0xfbb4fba53b85d3975453f59eb0de9722b4c40e06,0,0,1,0,0
0x0c2c62ddef57d86c21de3d6b279a69868a20bc57,0,1,0,0,0
0x5513006f9ae01ba57af60b1d4443bd0b1304e207,0,0,0,1,0
0x83aDf28a5B18fcB60e1b46Be0f90023936Ed5F29,0,0,1,0,1
0xc9bd3280e66f3b1bd4bc60556eba8f716324cc70,0,0,1,0,0
0xbA5DAde129B304E9b487c47C0B8Fa8eF2fa93709,0,0,1,0,0
0x9ee62f672519db9d6cc7a3f470168394af03c17c,0,0,1,0,0
0x3295D41951ea8a2C88C8C0Dc8156B27B3aA08bca,0,1,0,0,0
0x0ddeb9241c625e4bba65fb86e4b544d7c76ca903,0,0,1,0,0
0x85e57ae41f5d84ebb4b2bd1f63bd24c54c6d0cfe,0,1,0,0,0
0x5d51CBe8b2c63F23470138748728A7c213455261,0,0,1,0,0
0xfe71308fa183f71765a42dd0a5111708a408a24f,0,0,1,0,0
0x54d4afa599a6b8a764fde3e260913ada2c7bb424,0,0,1,0,0
0xBdDFC5895e0F765BE6FBF6A7aaD589cD24953984,0,0,1,0,0
0x9498fc5712290775463267540db0D2dD736592d5,0,0,1,0,0
0xe248e1290be95fcbcec53637b8c59fc32e52709d,0,1,0,0,0
0x8e096bd6f1c7bf618704ec4b80bfabed2b2ce18c,0,1,0,0,0
0x5300c9253992d4a17688fd4a6c2f47329729fdc6,0,1,0,0,0
0xb9dd1e889d9e078b0e39e45046bb1160cc93ab5c,0,0,0,0,0
0x79285aAc7FAc7e377d8ff98B158D04A681997775,0,0,0,0,0
0xf31063cb71fe5d48c0a6d8f47ec956c9a812345e,1,1,0,0,0
0x3c1998d878d8e56cf233bda7491dd4676f670a4f,0,1,0,0,0
