Contract Address,Risky Mutable Proxy,ERC-721 Re-entrancy,Unlimited Minting,Missing Requirements,Public Burn
0x1af8c7e348df4e8aa99c5de761e085fd44e6c3b7,0,0,0,0,0
0x03428a6f59c02ad83923c8f1c7c8c6f048e5949a,0,0,0,0,0
0xe7daeD994604e1C62392347aCCda6481764D356e,0,0,0,0,0
0xDF519A43C4f14D7b87e0a992ebB49e1fCF31970A,0,0,0,0,0
0xcfd0135f0bf8c72ee32503e224d8fef8fb469ecb,0,0,0,0,0
0xbfd5329c285b485baa5f45e2f7d8cf100d3bf0ce,0,0,0,0,0
0x71731033fc0f9be7bfc57ad288bbf10e1b3b7596,0,0,0,0,0
0x4Ed1BfD41F3BC47EB22794ED7AeD29a84298d89a,0,0,0,0,0
0xE534bD009274F9b891f80e3E42475f92e439f20c,0,0,0,0,0
0xe47ed55a84447ef79990884cd4ffd81dbe8fb1f9,0,0,0,0,0
0x36691812a21758fb684122664faba9b3c41afb48,0,0,0,0,0
0x0A86e32D5e382163eC9E9B3DB6f39d4c27330022,0,0,0,0,0
0xf6f4CB0EBe458Fe644d1484100246bBAc1Ae7928,0,0,0,0,0
0xFD8f4aC172457FD30Df92395BC69d4eF6d92eDd4,0,0,0,0,0
0xb70d2bd89419b567170bc7a35b587dc123120459,0,0,0,0,0
0x5536a74536f849d01c142015d78c81fe18420202,0,0,0,0,0
0x4664a68493831d816213079714f0b99709c24d1a,0,0,0,0,0
0xcccac232b742b07635afc41eee1e33aa5d175780,0,0,0,0,0
0x28604737bbe1ef2b6edfadd774e740e53de53592,0,0,0,0,0
0x62FCdfb76fb15dBCe863edB598D95a86Be099F9E,0,0,0,0,0
0x86b99824e83F841D3DFcf47F5Bd79d5E2877E2d3,0,0,0,1,0
0x9498fc5712290775463267540db0D2dD736592d5,0,0,1,0,0
0x1d7488b101bef5d5676b809e4c3ef217476904eb,0,0,0,0,0
0x70A1a6935DB69099065D7a64fc3eB0B10dA8EBF9,0,0,0,0,0
0x478f765974e75773a6f8b338436ed2063f7b24cb,0,1,0,0,0
0x58C94b50c00639c84bC0fedCca4D8461C71D3CAb,0,0,0,0,0
0x83ab5f683e8a18b170f8bca71537744465656246,0,0,0,0,0
0x40f0a7a1ff0cbe3b26af8d12fb2fa20c4b4515ce,0,0,0,0,0
0xa4e9ce225692ac5de2282d99df187ee3e8badaab,0,0,0,0,0
0xFF194A6a8E978C128671D96aE57eAE0e55173754,0,0,0,0,0
0x529d5e65df71d4fd4402a85c3450a387012edcb4,0,0,0,0,0
0x2c63af8a0aa3f22bbdd923d95c554fc6e745a525,0,0,0,0,0
0x495E2A70B87394b0E9023dA2f8962dF0F33906e2,0,0,0,0,0
0x532d8B8942eF906C1335C61C24107202c7982F84,0,0,0,0,0
0xac408f7371b92F463327865A6F0975911Eb8165F,0,0,0,0,0
0xfc2894779377f4e07135e8019dab3bb478fbeb1b,0,0,0,0,0
0x7278440592d6E46fF0D207991bD2898bb49468fb,0,0,0,0,0
0x9d0c488f636e28798274ab9f45d554ebf44dbae8,0,0,0,0,0
0x3103f4ed43399a60880a07d2cf234884b545a711,0,0,0,0,0
0x4838099e16fc56bfdd8a76b7fb9f338513dd1575,0,0,0,0,0
0x1604e13188ff96d54504af0a6377433db3b1f6b0,0,0,1,0,0
0x7c757592c59b435d1d54c1b08db1cbb0e522b374,0,0,0,0,0
0xA14ef8647a1472aC061d454231049482b9ef34f3,0,0,0,0,0
0x338Ce8942efe8e7CBED3de24D895091fC7444e02,0,0,0,0,0
0xaae8B4be3309F3B0F1E6C297EB857fcD3d37C2a4,0,0,0,0,0
0x74c7b793e2b6ee2f8e3f0f88c95b5eb77e3f8c0e,0,0,0,0,0
0x8efcbb80a49099cb690a6b9bf4b095c33af1ec79,0,0,0,0,0
0xf4e0caab3fcf79054a31953aefbc00847fe19a2b,0,0,0,0,0
0xf477163f817202c393ff612cff977abdd3cd4f5e,0,0,0,0,0
0xA6D9363e8ee5FBe039B70A66217967DcECc0AEa5,0,0,0,0,0
0x1c5C36bd0199aE1eB0cB23892FAEFEbfA876c067,0,0,0,0,0
0x36b339b89ce1a497b1e58821d43e8f1eda0a85ed,0,0,0,0,0
0x7C39A15B6371Ef352718F3D36D0FF6035cdfA56B,0,0,0,0,0
0x929F194985E221C07cDE0902D74789E3637F8EA4,0,0,0,0,0
0x53f46e7206c4cf51ece12712caeca497061b9679,0,0,0,0,0
0x4A6352AED82e6e812145a2A4D21d290E786A6941,0,0,0,0,0
0xb95b47756953121c848ed2de66f4c920ab43bcc1,0,0,0,0,0
0x57da78cef1ca9064f68aba1b797505dd52595d02,0,0,0,0,0
0xf887e5186e0b6fb30fd50250828e2f5ae430acee,0,0,0,0,0
0x7b390a11e5c425de7ad607234581a43cea63eebe,0,0,0,0,0
0x029e84595457FA3f61896D2B9dc2Bbe6B628d162,0,0,0,0,0
0xCDb63DBd12A586A69A871C645fF7d71fFf03C2Cd,0,0,0,0,0
0x48c3d5ef2330a94390a80a6a3783c7c949ae7309,0,0,0,0,0
0xb208b2ad918d2cd6dcbf3d1fb67f2359aa86611d,0,0,0,1,0
0xc43178badb0d5cfe2eb47aa09b40ea1df941782f,0,0,0,0,0
0x6de089939d63b0221dbff198e7c9c6efedd66cbd,0,0,0,0,0
0xe6d6a42f41a80b63e9c15c2dc19f0e9e97124984,0,0,0,0,0
0xcb22a36cb89a2f3ceebeb257166166b8058fc40f,0,0,0,0,0
0xb00f89145b0f74DEDADAbA9Fb78CB656666b4459,0,0,0,0,0
0x997020483A30678436E76c08a65BBeCbE69Bf704,0,0,0,0,0
0xa88413b52c72159877eff6014321676a8310ba08,0,0,0,0,0
0x8bc3c45eebc799432287e409fdabea71441a206a,0,0,0,0,0
0x1991A58aCEFD84a0eb967f71568BB17d412e66d2,0,0,0,0,0
0xf883f4ac9a6db68118c329760bb4261238a470f7,0,0,0,0,0
0xee2f28b01b0f1ff9d084e0d74553a58570e50229,0,0,0,0,0
0x688368b215ddadd931a7332132f737c8a7789607,0,0,0,0,0
0x3D1c855C7E9C15687D16D4798eeb849f74A10A36,0,0,0,0,0
0xd91ca1eadeb21db3dbfa0119af81ed9c271782ef,0,0,0,0,0
0xE317C4Ab556010698a7E43629b39044Db3d7c289,0,0,0,0,0
0xa5bb654b39a80bdd957471edea8653151899b7ea,0,0,0,0,0
0xa9e12344f87a4a3d031d49d9842f1385aa2b81d9,0,0,0,0,0
0xed7cb3c6a3b73ba62a105e8dff376120a4dc7169,0,0,0,0,0
0xed7b5f6e14ee8ff10e96a3d354546cd6f7dec6db,0,0,0,0,0
0xb363af6181a4335608880510772a5f61a5183c88,0,0,0,0,0
0xa3951a90d60eaaffa28e5b32610e12bfe85bbfb4,0,0,0,0,0
0x3ecd60acc3ead86df403cf12b275ed87e4812c9f,0,1,0,0,0
0x3431406545ad80b6a216da322736c2bf56962b02,0,0,0,0,0
0x3896fa3d63CE0b191C0354768C671A57E80a8F7a,0,0,0,0,0
0xC71a0306a0A628C616DAC42097bDc21EcDBc5d9d,0,0,0,0,0
0xDc04d8eFA1189A07F47Db9CdE77a3244FE7cEBa9,0,0,0,0,0
0x97ce39998bEdC265297338988CC168cD5f532375,0,0,0,0,0
0xf707f9060b8967799c7bd8afc54b055df7c9c13b,0,0,0,0,0
0x76d2d98ade7e31ec028e5314f6f63566ebcdd3ee,0,0,0,0,0
0x612447E8d0BDB922059cE048bb5a7CeF9e017812,0,0,0,0,0
0x799913ca85760558977ae12c15813c3cc9029bbd,0,0,0,0,0
0x6f019180c32b8521864879f25b5463c769ace5bb,0,0,0,0,0
0xac2ef2bbeb7a749fdf2c75f18b15a208bc44646c,0,0,0,0,0
0x7253800F2bd8d712939Da4623ee76E6868f01Dc1,0,0,0,0,0
0xcA03cc4ba38f13D4CFB35c1F65D049B89e2A219b,0,0,0,0,0
0xc5ac2e26bfbc501640a4e17f2f8e04ba0f7d4490,0,0,0,0,0
0xb4e49923cd134788118640967025ace889235a9d,0,0,0,0,0
0x52feb6fe42e9a9bde64e8a54fbb3672cb90cdd4b,0,0,0,0,0
0xf0b5aC1b2c12700aa245c269383b10cABB23D4dD,0,0,0,0,0
0x92d8e36dc466780632e930ce8b8ef23fb0adec96,0,0,0,0,0
0x15956968cc88e62d24089d357e6a795daec366c0,0,0,0,0,0
0xF7e4B6d7fe4bCdBD913370A6d568722282BaCb43,0,0,0,0,0
0x1d56693ae91a76750211bc743920aab4bae9c83f,0,0,0,0,0
0x89be59c801c981bd497bc1df404aa08cfbb7604f,0,0,0,0,0
0xc788b709f5c7defdc7c784c44c7e14bdd967686f,0,0,0,0,0
0x95db40084516e2897e3a5cba0c4f0c665004d14b,0,0,0,0,0
0x168c5962D42A280eE2099F8b9b0E0817c4980129,0,0,0,0,0
0x7e78D0305b72040F1f10F17D009435B0d7e71FE1,0,0,0,0,0
0x245b895c21c03f71fc60a0c158cbc6708032573f,0,0,0,0,0
0x088124837ed205cfc23e57f6aaab2abac628e0be,0,0,0,0,0
0x5657a6aad87e5fbc6abf2da6e1e258c54dfdbb21,0,0,0,0,0
0x8365015426104F1EB6A19b85273e6f207Cc50cb9,0,0,0,0,0
0xCE10106559932d385c20f0f99c245AB4BFF365F9,0,0,0,0,0
0xe6cf90e270a2714f2610ed719001d126504ede94,0,0,0,0,0
0x054939c96ee1dbe06da34661321aabd27d6f9812,0,0,1,0,0
0xce08b64c89dcaafc03af9b5bfd9f4315b79d9aac,0,0,0,0,0
0x848846d7d3854d8f0151ca475ac223f7ceeffc77,0,0,0,0,0
0x1cad38b87e50420f1e78b7de48ff3daf4015d905,0,0,0,0,0
0x01174185dcacb093c8768202ad045b7213c22804,0,0,0,0,0
0xe44b41e812b0a81bc3b91c247e73edadd5475e95,0,0,0,0,0
0xE57b12543214A255733058551A44F8C60e002301,0,0,0,0,0
0xE2C82899b078aE9E4b1bD134F9fD78b62633dD48,0,0,0,0,0
0xa3417899116f780c72c8f6fc60842cb36c4454a1,0,0,0,0,0
0x244da80288625a6a8350d7dce1d0e60541414b97,0,0,0,0,0
0x079550a1c860d1b1aaf87c9b69579a9b40c6730b,0,0,0,0,0
0x6d1ec06167205ecedc84cf46bf4fb265679febc9,0,0,0,0,0
0x732d846e7B6Ab3eB9162d2D9fAaEb8E5857dF3B1,0,0,0,0,0
0x288e76fc06359a759ee9947aec107609aa1d60fe,0,0,0,0,0
0x14bed94b44009ae1788e38624144246cddac80a6,0,0,0,0,0
0x82Fc74545560Dade662408D0f75af5155f1ed14d,0,0,0,0,0
0xf65b639cd872217a5cf224e34e28320b06ef317f,0,0,0,0,0
0x99bef4e0d9c9e18a359be7e64c2b2ec5724b9572,0,0,0,0,0
0x740AA5Dbc4b78Fba89628f532CF3D9b79e445eE4,0,0,0,0,0
0xcfb6f685e4d38b09f47557501961a5d0acbd8d93,0,0,0,0,0
0x6d578df4238356f9f453744e86454f58b0289b03,0,0,0,0,0
0x55eafb939286e0fc99a91ef6593d261efe05b996,0,0,0,0,0
0x91d9Df372665b9d3881B15997189a4b8Fa7f3F29,0,0,0,0,0
0xd2f735f959c3dc91e6c23c8254e70d07b6aacd68,0,0,1,0,0
0xdc8d171ebc12dde059b19f5fa0de87f64a59e41d,0,0,0,0,0
0x6bf7230ec3faff46bffedfbf765b54ac622bb3a6,0,0,0,0,0
0xa7d808dfe6288f774ef55f7ac0000f5fbade0cab,0,0,0,0,0
