IssueName,Paper,Conference/Journal/Onlie
Race Condition,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Check/Validation,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Resource Leak,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Transaction Related,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Deadlock,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Go Panic,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Block Related,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Denial-of-Service,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Peer/Node Related,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Sanity Check,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Overflow,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Wallet Key/Password,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Uninitialized Read,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
RPC Related,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Out-of-Bound,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Off-by-One,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Segfault,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Memory Pool,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Nil Pointer Deref,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Database Corruption,"An empirical study of blockchain system vulnerabilities: modules, types, and patterns",FSE
Access Control,Making smart contract development more secure and easier,FSE
Arithmetic,Making smart contract development more secure and easier,FSE
Backdoor Threats,Making smart contract development more secure and easier,FSE
Front Running,Making smart contract development more secure and easier,FSE
Locked Ether,Making smart contract development more secure and easier,FSE
Reentrancy,Making smart contract development more secure and easier,FSE
Timestamp Dependency,Making smart contract development more secure and easier,FSE
Unchecked Low Calls,Making smart contract development more secure and easier,FSE
Unhanaled Exception,Making smart contract development more secure and easier,FSE
Access_control,MANDO-GURU: vulnerability detection for smart contract source code by heterogeneous graph embeddings,FSE
Arithmetic,MANDO-GURU: vulnerability detection for smart contract source code by heterogeneous graph embeddings,FSE
Denial of service,MANDO-GURU: vulnerability detection for smart contract source code by heterogeneous graph embeddings,FSE
Front_ running,MANDO-GURU: vulnerability detection for smart contract source code by heterogeneous graph embeddings,FSE
Reentrancy,MANDO-GURU: vulnerability detection for smart contract source code by heterogeneous graph embeddings,FSE
Time_manipulation,MANDO-GURU: vulnerability detection for smart contract source code by heterogeneous graph embeddings,FSE
Unchecked_low_level_calls,MANDO-GURU: vulnerability detection for smart contract source code by heterogeneous graph embeddings,FSE
Smart Contract Fairness,Towards Automated Verification of Smart Contract Fairness,FSE
Re-Entrancy Attacks,Sereum: Protecting Existing Smart Contracts Against Re-Entrancy Attacks,NDSS
re-entrancy,SODA: A Generic Online Detection Framework for Smart Contracts,NDSS
unexpected function invocation,SODA: A Generic Online Detection Framework for Smart Contracts,NDSS
invalid input,SODA: A Generic Online Detection Framework for Smart Contracts,NDSS
uses the result of ORIGIN to check permissions,SODA: A Generic Online Detection Framework for Smart Contracts,NDSS
transfer() or transferFrom() can be executed without emitting the Transfer event,SODA: A Generic Online Detection Framework for Smart Contracts,NDSS
BALANCE is strictly equal to a specific value,SODA: A Generic Online Detection Framework for Smart Contracts,NDSS
comparison depending on the block number or the timestamp,SODA: A Generic Online Detection Framework for Smart Contracts,NDSS
REENTRANCY,ZEUS: Analyzing Safety of Smart Contracts,NDSS
UNCHECKED SEND,ZEUS: Analyzing Safety of Smart Contracts,NDSS
FAILED SEND,ZEUS: Analyzing Safety of Smart Contracts,NDSS
TRANSACTION STATE DEPENDENCE,ZEUS: Analyzing Safety of Smart Contracts,NDSS
ABSENCE OF LOGIC,ZEUS: Analyzing Safety of Smart Contracts,NDSS
INCORRECT LOGIC,ZEUS: Analyzing Safety of Smart Contracts,NDSS
Exception disorders/Mishandled exceptions/Gasless send,Smart Contract Repair,TOSEM
Reentrancy,Smart Contract Repair,TOSEM
Integer overflow/Integer underflow/Unchecked math,Smart Contract Repair,TOSEM
Transaction order dependence/Unpredictable state,Smart Contract Repair,TOSEM
Backdoor Threats,Pied-Piper: Revealing the Backdoor Threats in Ethereum ERC Token Contracts,TOSEM
Reentrancy with Ether,SmartFast: an accurate and robust formal analysis tool for Ethereum smart contracts,ESE
Right-to-Left-Override,SmartFast: an accurate and robust formal analysis tool for Ethereum smart contracts,ESE
Lock Account Assets,SmartFast: an accurate and robust formal analysis tool for Ethereum smart contracts,ESE
Transaction Origin Address,SmartFast: an accurate and robust formal analysis tool for Ethereum smart contracts,ESE
Wrong Shift Parameters,SmartFast: an accurate and robust formal analysis tool for Ethereum smart contracts,ESE
Shadowed Built-in Elements,SmartFast: an accurate and robust formal analysis tool for Ethereum smart contracts,ESE
Non-compliant Signature,SmartFast: an accurate and robust formal analysis tool for Ethereum smart contracts,ESE
Timestamp Dependency,SmartFast: an accurate and robust formal analysis tool for Ethereum smart contracts,ESE
Useless Code,SmartFast: an accurate and robust formal analysis tool for Ethereum smart contracts,ESE
ERC20 Problems,Conformance evaluation of the top-100 Ethereum token smart contracts with Ethereum Request for Comment-20 functional specifications,IETS
Reentrancy,Vulpedia: Detecting vulnerable ethereum smart contracts via abstracted vulnerability signatures,JSS
Unexpected Revert,Vulpedia: Detecting vulnerable ethereum smart contracts via abstracted vulnerability signatures,JSS
Abuse of Tx.origin,Vulpedia: Detecting vulnerable ethereum smart contracts via abstracted vulnerability signatures,JSS
SelfDestruct,Vulpedia: Detecting vulnerable ethereum smart contracts via abstracted vulnerability signatures,JSS
Event-Ordering Bugs,Exploiting the Laws of Order in Smart Contracts,ISSTA
Timestamp Dependency,"How Effective Are Smart Contract Analysis Tools? Evaluating
Smart Contract Static Analysis Tools using Bug Injection",ISSTA
Unhandled Exceptions,"How Effective Are Smart Contract Analysis Tools? Evaluating
Smart Contract Static Analysis Tools using Bug Injection",ISSTA
Integer Overflow/Underflow,"How Effective Are Smart Contract Analysis Tools? Evaluating
Smart Contract Static Analysis Tools using Bug Injection",ISSTA
Use of tx.origin.,"How Effective Are Smart Contract Analysis Tools? Evaluating
Smart Contract Static Analysis Tools using Bug Injection",ISSTA
Re-entrancy,"How Effective Are Smart Contract Analysis Tools? Evaluating
Smart Contract Static Analysis Tools using Bug Injection",ISSTA
Unchecked Send,"How Effective Are Smart Contract Analysis Tools? Evaluating
Smart Contract Static Analysis Tools using Bug Injection",ISSTA
Transaction Ordering Dependence,"How Effective Are Smart Contract Analysis Tools? Evaluating
Smart Contract Static Analysis Tools using Bug Injection",ISSTA
Unbounded Loops,"eTainter: Detecting Gas-Related Vulnerabilities in Smart
Contracts",ISSTA
DoS with Failed Call,"eTainter: Detecting Gas-Related Vulnerabilities in Smart
Contracts",ISSTA
Permission Bugs,Finding Permission Bugs in Smart Contracts with Role Mining,ISSTA
reentrancy,SmartDagger : A Bytecode-based Static Analysis Approach for Detecting Cross-contract Vulnerability,ISSTA
Transaction-Ordering Dependence,Making Smart Contracts Smarter,CCS
Timestamp Dependence,Making Smart Contracts Smarter,CCS
Mishandled Exceptions,Making Smart Contracts Smarter,CCS
Reentrancy,Making Smart Contracts Smarter,CCS
Locking,"Learning to Fuzz from Symbolic Execution
with Application to Smart Contracts",CCS
Leaking,"Learning to Fuzz from Symbolic Execution
with Application to Smart Contracts",CCS
Suicidal,"Learning to Fuzz from Symbolic Execution
with Application to Smart Contracts",CCS
Block Dependency,"Learning to Fuzz from Symbolic Execution
with Application to Smart Contracts",CCS
Unhandled Exception,"Learning to Fuzz from Symbolic Execution
with Application to Smart Contracts",CCS
Controlled Delegatecall,"Learning to Fuzz from Symbolic Execution
with Application to Smart Contracts",CCS
Inconsistent Behaviors,"TokenScope: Automatically Detecting Inconsistent Behaviors of
Cryptocurrency Tokens in Ethereum",CCS
Reentrancy,Securify: Practical Security Analysis of Smart Contracts,CCS
unrestricted ether flow,Securify: Practical Security Analysis of Smart Contracts,CCS
locked ether,Securify: Practical Security Analysis of Smart Contracts,CCS
missing input validation,Securify: Practical Security Analysis of Smart Contracts,CCS
ToD,Securify: Practical Security Analysis of Smart Contracts,CCS
unhandled exceptions,Securify: Practical Security Analysis of Smart Contracts,CCS
TODAmount,Securify2,Successor of Securify (CCS)
TODReceiver,Securify2,Successor of Securify (CCS)
TODTransfer,Securify2,Successor of Securify (CCS)
UnrestrictedWrite,Securify2,Successor of Securify (CCS)
RightToLeftOverride,Securify2,Successor of Securify (CCS)
ShadowedStateVariable,Securify2,Successor of Securify (CCS)
UnrestrictedSelfdestruct,Securify2,Successor of Securify (CCS)
UninitializedStateVariable,Securify2,Successor of Securify (CCS)
UninitializedStorage,Securify2,Successor of Securify (CCS)
UnrestrictedDelegateCall,Securify2,Successor of Securify (CCS)
DAO,Securify2,Successor of Securify (CCS)
ERC20Interface,Securify2,Successor of Securify (CCS)
ERC721Interface,Securify2,Successor of Securify (CCS)
IncorrectEquality,Securify2,Successor of Securify (CCS)
LockedEther,Securify2,Successor of Securify (CCS)
ReentrancyNoETH,Securify2,Successor of Securify (CCS)
TxOrigin,Securify2,Successor of Securify (CCS)
UnhandledException,Securify2,Successor of Securify (CCS)
UnrestrictedEtherFlow,Securify2,Successor of Securify (CCS)
UninitializedLocal,Securify2,Successor of Securify (CCS)
UnusedReturn,Securify2,Successor of Securify (CCS)
ShadowedBuiltin,Securify2,Successor of Securify (CCS)
ShadowedLocalVariable,Securify2,Successor of Securify (CCS)
CallToDefaultConstructor?,Securify2,Successor of Securify (CCS)
CallInLoop,Securify2,Successor of Securify (CCS)
ReentrancyBenign,Securify2,Successor of Securify (CCS)
Timestamp,Securify2,Successor of Securify (CCS)
AssemblyUsage,Securify2,Successor of Securify (CCS)
ERC20Indexed,Securify2,Successor of Securify (CCS)
LowLevelCalls,Securify2,Successor of Securify (CCS)
NamingConvention,Securify2,Successor of Securify (CCS)
SolcVersion,Securify2,Successor of Securify (CCS)
UnusedStateVariable,Securify2,Successor of Securify (CCS)
TooManyDigits,Securify2,Successor of Securify (CCS)
ConstableStates,Securify2,Successor of Securify (CCS)
ExternalFunctions,Securify2,Successor of Securify (CCS)
StateVariablesDefaultVisibility,Securify2,Successor of Securify (CCS)
Locked Ether,"Rethinking Smart Contract Fuzzing: Fuzzing With Invocation
Ordering and Important Branch Revisiting",TIFS
timestamp dependency,"Rethinking Smart Contract Fuzzing: Fuzzing With Invocation
Ordering and Important Branch Revisiting",TIFS
block number dependency,"Rethinking Smart Contract Fuzzing: Fuzzing With Invocation
Ordering and Important Branch Revisiting",TIFS
dangerous delegatecall,"Rethinking Smart Contract Fuzzing: Fuzzing With Invocation
Ordering and Important Branch Revisiting",TIFS
ether frozen,"Rethinking Smart Contract Fuzzing: Fuzzing With Invocation
Ordering and Important Branch Revisiting",TIFS
unchecked external call,"Rethinking Smart Contract Fuzzing: Fuzzing With Invocation
Ordering and Important Branch Revisiting",TIFS
reentrancy,"Rethinking Smart Contract Fuzzing: Fuzzing With Invocation
Ordering and Important Branch Revisiting",TIFS
integer overflow,"Rethinking Smart Contract Fuzzing: Fuzzing With Invocation
Ordering and Important Branch Revisiting",TIFS
dangerous Ether strict equality.,"Hunting Vulnerable Smart Contracts via Graph
Embedding Based Bytecode Matching",TIFS
Integer Overflow,"Hunting Vulnerable Smart Contracts via Graph
Embedding Based Bytecode Matching",TIFS
Reentrancy,"Hunting Vulnerable Smart Contracts via Graph
Embedding Based Bytecode Matching",TIFS
Bad Randomness,"Hunting Vulnerable Smart Contracts via Graph
Embedding Based Bytecode Matching",TIFS
