Contract Address,Public Burn
0x1d9b317b401003e4881d37301ae5dcfa4718c26e,1
0x3e38fbe62bd908db58a389863627f6e66ac488a9,1
0x4703738dec2bbbddb5ec06c4ca5c76d325f31bc6,1
0x3f21e2d45a446739a57afcdaaf8f7ac2b78235f3,1
0xdd8c467d989883539de3df0e5ca7f2042759121b,1
0x659982ba58e0b57f43046d9f3cd91c18bed6db05,1
0xDBf4a1b779839b0114244E51D87Df7473d51B151,1
0x1580a4b2dd47ca948046ee20e8bc7e6a5fc0aefc,1
0x659982ba58e0b57f43046d9f3cd91c18bed6db05,1
0x49619200e443505dd3bb80f7b560c28c8c9f54a0,1
0xa75470d71a36b6a45781a594f0594c71ad13c3e5,1
0x0cc17d845f63737c7d4505d446fe975b2bafb142,1
0x0b39a110294c680146609916d52df54fcb2c454a,1
0x24508f7c285d906fec54ceea3bc1f380af71a847,1
0xAB9F28CF19876df90CD366087fEdEbC10Bb0e344,1
0xec921c70ccb5caccab626f70023866a6c4cc0e43,1
0x72c348eafb8ef0885ae00e78f37fdf389d2c71c3,1
0xfF388a7Dd27dfcAf92b23998c9AfA6acA0f937b9,1
0xd994a51af8877089b9ac2d4c499bc1eeefb3b767,1
0x3a6eB751b4bE5788C30B968F674Ee3081317D60a,1
0x0322b8fcc82f28ab412a24e0fea6cc0ac80b6c0f,1
0x83aDf28a5B18fcB60e1b46Be0f90023936Ed5F29,1
0x2d76705E0ab39DCbB4E178BFfAf866847c199B90,1
0x09b92fa1a8c7116b9c4746a71a792f435e92e6a0,1
0x17a06a9de20534939bb9c8b778e751404562d0e5,1
0xbdb9b26636caab1c11aab60307d5c8c1e1904a48,1
0x198f74f6e3a4275e0e268db3640047a12fd0d0a4,0
0x9caeba047b8fc84b30b44322ec097967f8dd1f99,1
0x7ca043eecabbf3c541e1e18c0b91821d73c2fec9,1
0xa595d6c052b54f33e2474c8088af815057059151,0
Total,28
