Contract Address,Risky Mutable Proxy
0x708e73c7a0d81e00e848c902217d2d39e56d65af,1
0x7f3e3f6ea8409e4bfc1c6781e038722ced52e97c,1
0x8cd6129dc26c8c2b45b6436ef97ac19920a148ca,1
0xf5eadd59709837bb5406b59757c9dfa23c1073d5,1
0xcf8ece70ea776b2e726e7880eaa24c6a38b6550f,1
0x0d4e37b3e051cc51eddeeca42341e4db431eb85e,1
0xa4d9dc5f0a843a5a6b40d9664bcb87f0cc74f003,1
0x8e08c421c288e7863919a6f1125e63ab889d097a,1
0xf0429d63d0b567d32cef34649c84532d23a24ae3,1
0xd74c8ac16cf34e349b6e8252e2cd76086ed78253,1
0xc1a5fc1d2b17f3a4c592da5d3c533c27f353d8a1,1
0x89f3f9c8d7ad4160e4c8ecb26cf77c5c8746e834,1
0xbfbeea80c946355f96cb6694d86783573aa8f327,1
0x555c9fc463E75d8bC4adC1437D4816635490Df6F,1
0xf31063cb71fe5d48c0a6d8f47ec956c9a812345e,1
Total,15
